theta,tau_rel,mu,gamma,nu_rel,zeta_rel,betaContam,delta,eta,kappa
1.6752492250184965,0.9044821729054556,0.014553859731423016,0.015614964569879132,1.4324398791626878,0.9511474762413931,0.7072655451911348,0.02057552141759866,0.9853887511210753,46.112410661367406
2.6351741898968495,0.955611369338064,0.02771179349270792,0.03284514783981069,1.6660317118067833,0.8850248466971463,0.6638741830694413,0.03343186844847138,0.9797296630697447,48.06788347266097
3.20922447250437,0.9370819921918194,0.019519094172158538,0.022721567745953408,1.3653624109819709,0.7234942992890646,0.7858453902294312,0.02233298350860644,0.9873110767886655,52.948730368787594
1.1706516431601017,0.8745213644212964,0.005817210212704758,0.007223494885246238,1.5512289459860014,0.48670699385393545,0.4813016127065019,0.07362003083437664,0.971690183470076,46.4349738684086
4.104509729619947,0.963853326775425,0.024167358379830924,0.03317835990329599,1.9201818249612401,0.8670240703084648,0.6849113775135477,0.05238604138903064,0.9652472837062663,45.21236164343166
1.4636819858442007,0.8969765949826418,0.005026423139404949,0.008952860243667052,1.7559040427723385,0.300156363214418,0.5896891302367582,0.08752545909974625,0.9554547442274655,48.15970521481267
1.6051707083397717,0.8943470317437441,0.006759622050191461,0.008327855661068749,1.6488056365214925,0.6653017499709042,0.5302622979947462,0.0920082692330107,0.9653413284189132,38.00258987009547
7.359364584544734,0.9768243768122804,0.03380480446967368,0.05495015418889104,1.6398854434583403,0.5102353911304354,0.7717521221863921,0.044635822614720044,0.9808132383104912,46.291246979782265
1.2915864266240165,0.8830058134277522,0.010343636056652162,0.009452982636074487,1.186708542115881,0.6631928568322504,0.687611689708013,0.04150487433152998,0.9689047150806576,46.49505641011184
1.013568119098678,0.8861644863523699,0.009677609930636188,0.011730902153285346,1.2388277386986413,0.5504792614897138,0.8808476581759093,0.04156596067800415,0.9676879065715118,51.50859382653816
2.883793481370798,0.9552324160525265,0.018175409616007648,0.027112260061051125,1.642070282837673,0.5279782147445502,0.8846020296544175,0.046242604086527875,0.9544903586408169,52.30499759710931
1.4676890438062353,0.8956410847871019,0.0111794807349444,0.012631933055392168,1.376368762929405,0.5290301679651884,0.7463195887952276,0.02855714312753818,0.9744835196234464,51.51893343570049
1.7981502663079578,0.9254470821119934,0.012772906478890227,0.016764164651578192,1.9321224195582338,0.907499504733443,0.8846459424137332,0.04005869541480369,0.9579018528109106,47.50885972523857
1.5010069749197197,0.9076913924030264,0.005640190435041337,0.009067845055939586,1.9496012157474416,0.36632022747800813,0.4384594021150694,0.09007221096662035,0.970894353559174,44.71154103726924
2.613789758914898,0.9500234637767355,0.016739234530222948,0.021867462736846116,1.6468190976128414,0.5943377578710126,0.7861599616785783,0.055088354907880284,0.9571575981646447,51.58128872158238
1.3190012312754489,0.8872413804939375,0.007330540683241489,0.011017023878172424,1.4522734327232316,0.6047593443182689,0.7933465710586093,0.06159255249715253,0.9722505611238443,47.702796744921315
2.477004134605008,0.9315130055877295,0.011445291784235027,0.013802526242127256,1.477303492120972,0.76422158967134,0.827828796410065,0.06733445349614223,0.9517432909346373,44.753145695324854
2.2646200805059697,0.9389906028478692,0.009891148606655202,0.014192938248418704,1.8075781142786806,0.7254245925016753,0.7144780234348838,0.07059390540198013,0.9521545195657775,47.345231955030634
1.4218958347094781,0.9052159226846717,0.009424681691906243,0.012475600337102676,1.5403419417533282,0.49593810873331334,0.8978240441166889,0.0370107653372388,0.9598424265246807,59.01460280091945
3.2920573687231633,0.951974941882413,0.024702601140716225,0.025474515046132643,1.50371550618606,0.7312330067022358,0.7028047920124614,0.037371782250467826,0.9733708352050997,46.6535054025336
2.6663797589546125,0.9414595760968734,0.011850658473250864,0.017714865377573212,1.8896280615536831,0.738267669794823,0.9569632078422697,0.04633624401215522,0.9455245575971853,39.04768012942691
2.30884192685243,0.9390425640197277,0.015298447103033361,0.02259882616596099,1.9221292288328449,0.7399830503324543,0.6426964187680788,0.04600848350635698,0.9820371135660538,57.288156791414806
1.4300436189847174,0.8889408832717809,0.009345999794851014,0.01116579803220843,1.3838102878755862,0.6134643096773361,0.900248107601713,0.04532310393900398,0.9540365845331628,45.929641140266604
2.3083505255490597,0.9263439174048771,0.0074706828408458055,0.00908531798305219,1.4160291622546297,0.6615194050216432,0.6821256562663468,0.08028657256328578,0.9453753037327167,40.57478600730245
